RA,DEC,z,M500
164.553,1.616,0.0385,0.3823
164.608,56.792,0.1369,3.9904
164.71,62.398,0.37,1.1097
164.997,64.352,0.192,0.5526
165.204,10.56,0.0353,0.6129
165.32,-22.728,0.1416,2.5688
165.905,35.922,0.775,1.8473
166.125,36.006,0.497,1.2487
166.829,-23.002,0.0639,1.153
167.328,41.562,0.0763,1.455
167.429,21.762,0.0319,0.4615
167.519,-29.952,0.2,0.8158
167.695,28.706,0.0314,0.5978
167.91,40.842,0.0794,2.0112
168.229,13.445,0.169,3.0475
168.274,-26.26,0.725,1.8657
168.332,17.594,0.1706,4.2492
168.336,2.532,0.078,2.0432
168.452,40.289,0.0795,0.5633
168.55,-38.189,0.1306,3.4886
168.599,58.39,0.2065,3.7085
168.887,54.435,0.0691,1.0484
168.975,1.496,0.3499,7.2696
169.014,24.688,0.1021,1.2838
169.228,18.056,0.0032,0.0118
169.3,17.74,0.305,1.068
169.359,7.726,0.477,1.1452
169.375,17.746,0.547,2.0778
169.375,7.777,0.155,0.4062
169.864,21.115,0.174,0.5223
169.931,21.446,0.061,0.1062
170.032,43.302,0.6,3.3968
170.243,23.443,0.562,2.6529
170.398,48.063,0.112,1.7522
170.428,2.818,0.0468,0.9244
170.56,67.213,0.056,0.4388
170.585,24.317,0.0258,0.251
170.707,1.108,0.072,0.869
170.708,34.123,0.043,0.3886
170.794,14.161,0.34,1.5148
170.805,19.6,0.1042,1.8566
170.991,21.49,0.1904,4.0552
171.016,-17.003,0.407,1.3673
171.152,41.932,0.195,1.3125
171.196,38.995,0.3014,0.816
171.346,38.902,0.5477,1.2653
171.748,17.115,0.127,2.419
171.939,43.163,0.344,1.5399
172.005,75.49,0.165,2.1865
172.226,42.867,0.411,1.7586
172.468,23.792,0.1371,2.2495
172.507,36.63,0.06,0.8069
172.52,20.477,0.129,2.454
172.523,-42.23,0.155,3.4547
172.581,-14.583,0.1068,3.4062
172.843,33.582,0.2212,3.1308
172.985,-19.927,0.3075,7.598
173.082,55.979,0.0527,0.9561
173.221,14.469,0.0834,3.0137
173.32,66.379,0.116,2.4063
173.488,75.116,0.122,1.4512
173.559,59.876,0.29,0.835
173.71,49.058,0.0341,0.4608
173.822,-13.519,0.0722,1.2622
173.977,21.518,0.133,0.5182
