RA,DEC,z,M500
268.6368447075988,68.04061879001421,0.077,2.3973255
353.5972470418322,18.00028415460352,0.436,7.0494475
199.60585353572003,38.585262910936954,-1.0,0.0
215.5697601373879,54.901100488383754,-1.0,0.0
216.77906936376968,55.74970443037433,0.13183835,2.8281803
222.82705020424618,59.33064875214044,-1.0,0.0
287.5850392880882,67.71000895930005,0.2471,3.3909717
334.8563299126502,48.53955997896611,-1.0,0.0
348.44097183871077,29.611724208856817,-1.0,0.0
283.46470544891116,68.37729958512641,0.0928,2.5832536
238.03781940219707,65.34053994421097,0.2231,2.802261
293.8081585129611,67.59059795076706,0.1706,3.9210207
282.7519288790094,68.80650432977545,0.35,4.244147
217.1485398057025,56.876583531173544,0.1051,2.8119419
248.671370183465,67.64227958664534,0.1668,2.5062819
257.61091365267185,68.73206021823597,-1.0,0.0
0.9450593131603874,2.0536454341381765,0.0924,2.2387743
307.636168219391,65.09358740874902,-1.0,0.0
213.6782168416283,54.783574398561655,0.6305,6.8460817
287.0822464174506,69.08521535089959,0.2103,3.703402
303.58930340247633,66.61169510619064,-1.0,0.0
239.02572783622327,66.35446680708247,0.2339,4.0442696
350.25434622546345,29.213549960193532,0.485,7.643378
258.41928326777366,69.3734256407765,-1.0,0.0
304.68105706027205,66.70298384500788,-1.0,0.0
304.6406633277771,66.78551436785861,-1.0,0.0
354.13110016767985,21.151910495159147,0.0565,1.8440452
285.0767775142183,69.96177959743645,0.0877,2.240968
348.34826468696184,34.579624205555334,0.4240119,5.6980996
261.92800976160095,70.5941468717289,0.3059,3.3127844
351.5962727059256,29.32577129215673,0.227,4.878619
2.042178390669706,2.0303798843921657,0.36945453,5.7207975
358.88488057226556,11.337716454751478,0.0726,2.3994622
353.3020224418284,28.76779635584778,0.5915,6.7287173
338.70698595669,52.726401908426574,-1.0,0.0
354.50429221731565,27.081758017580963,0.0309,1.5119333
286.16821082839226,72.4524911516396,0.33,4.0590324
357.20183701107624,21.723500796384087,-1.0,0.0
281.88430770890506,73.33231492659222,0.1125,1.9411491
0.4838143549672432,12.078186523263513,0.2033,4.1072617
239.48193846150454,70.38493812208685,-1.0,0.0
347.9582630253779,43.883591172960585,-1.0,0.0
2.339505171996875,6.829251560822417,0.24406195,4.89872
236.7095880075973,69.94411795219519,0.69,4.253688
2.5583962349426503,6.633859554729253,0.291234,4.7984796
238.15120450213658,70.53335740554448,-1.0,0.0
350.0594694769504,41.787081788581546,0.14,4.5852466
1.5977679947871788,10.89274671868046,0.1698,3.8539588
197.75440941546813,39.246288766603676,0.072,2.1962824
212.589737784113,59.680120178287744,0.316,4.414105
358.39307572161493,22.57890787579319,-1.0,0.0
350.02389461348906,43.69227669621156,-1.0,0.0
290.35131555632455,74.55607671731339,-1.0,0.0
284.2922956214877,74.9308604017309,0.588,4.9111543
282.1361085043882,75.05866412632557,-1.0,0.0
216.3149012397017,63.185992424500064,0.1394,2.8878279
347.6369971031794,49.19549443495077,-1.0,0.0
202.6355399636,49.152937652488205,0.3314,4.674128
10.866175509346801,-20.61702265082168,0.2924,8.12567
203.17767457960107,50.518292583159926,0.2799,8.217337
359.770404816746,21.751813122142558,0.5330304,6.929063
357.6389687218629,29.539921200701805,0.1498,3.4469066
348.44578747962225,50.32555888933007,-1.0,0.0
4.894937597640887,3.5964757075454705,0.267,6.2161384
0.30187766894408086,21.59316528513872,0.4152,5.728785
1.8955148571413765,16.13084927917448,-1.0,0.0
349.29125996915246,50.926789950913786,-1.0,0.0
350.61770800704596,48.741436678734296,0.336,7.738726
207.2301211399997,57.34687123154693,0.32167724,3.8494954
216.7773373878075,65.65281143858792,0.674,4.9336843
3.0592162232931233,14.026512883241152,0.37167367,5.0538077
358.28654292274575,33.28003776452864,0.457,6.919559
