RA,DEC,max_pred,galmask,psmask,CO_mask,mpp_er
205.89648793517296,3.4705492307647097,5.0170699999999995,1,1,1,0.27095717553320936
352.831758034813,-3.63688749946586,5.017311,1,1,1,0.27095859518816356
232.751290422938,58.53611120231629,5.017365,1,1,1,0.2709589132851242
227.238561814564,-29.8472015991775,5.017384,0,0,0,0.2709590252081289
138.761416156728,58.2323027652133,5.017469,1,1,1,0.2709595259163078
47.2453286007628,-32.4617508955131,5.017601,1,1,1,0.2709603034866561
339.259191169727,-12.9756751796871,5.0177760000000005,1,0,1,0.27096133435643616
358.912459278554,-59.084062527273595,5.017784,1,1,1,0.2709613814819118
137.995020054701,3.71801703650697,5.017827,1,1,1,0.27096163478134344
102.516503298472,73.8569892230354,5.018026,0,1,1,0.27096280702755043
251.089047955577,68.7690321462326,5.018187999999999,1,1,1,0.27096376131843253
123.33225314982799,30.8278048031142,5.018232,1,1,1,0.2709640205085486
283.67274778591,-56.460497416041,5.01828,1,1,1,0.2709643032614026
312.425263610356,-16.183504888899602,5.018282,1,1,1,0.27096431504277146
194.263019292889,36.867657673249504,5.018301999999999,1,1,1,0.2709644328564606
250.897372167762,52.177551246310394,5.01839,1,1,1,0.27096495123669284
26.893636137938,1.8286803505936202,5.018406,1,1,1,0.27096504548764416
157.702383601814,81.49406899977059,5.018607,1,1,1,0.2709662295152201
318.36988525128,18.077914428783,5.0186269999999995,0,0,1,0.27096634732890923
322.85479014423,20.8083985893482,5.018714,1,1,1,0.270966859818457
335.63725950560297,-26.2346136997962,5.018733999999999,1,1,1,0.2709669776321461
346.722526370278,21.1687426503698,5.018962,0,0,0,0.27096832070820237
28.5814572716647,-3.5741225363993596,5.018993,1,1,1,0.2709685033194206
355.1596762956829,-5.12137652057156,5.01904,1,1,1,0.27096878018159004
178.48976539075196,84.7328396756125,5.019044,0,1,0,0.27096880374432786
248.54683547353198,63.2931456429854,5.019158,1,1,1,0.270969475282356
238.51499043327092,-24.861245333057,5.019171,0,0,0,0.27096955186125393
338.044452253781,-54.455789404959,5.019223,1,1,1,0.2709698581768457
237.228605914367,-26.312787645697604,5.019279,0,1,0,0.2709701880551753
