RA,DEC,p_max,precisionX,s/n,id
271.4163007950016,-26.3623811020628,0.2335754097601928,0.4317341062322614,-1.0,SZ_G004.46-02.54
168.11952490304782,36.49264395678837,0.2335778228938579,0.4317359425821458,-1.0,SZ_G182.66+67.07
8.959427767242268,-10.588836429806436,0.2336162198334933,0.4317651619398144,-1.0,SZ_G109.67-73.06
309.4245841648732,-55.75410724254668,0.2336253919638693,0.4317721417606174,5.237893,SZ_G341.96-36.94
40.005114376729935,37.86193586939193,0.2336978907696903,0.4318273120048594,5.137226,SZ_G145.50-20.20
123.42838425479415,2.63736111238485,0.2337020952254533,0.4318305115175785,-1.0,SZ_G220.19+19.47
72.58363702697011,20.42174089011184,0.2337074456736445,0.4318345831092437,-1.0,SZ_G179.91-15.15
22.078183184548383,-49.76730922471579,0.2337148091755807,0.4318401865974074,-1.0,SZ_G288.03-66.28
230.7883098053589,38.4126376741181,0.2337149406472841,0.431840286644931,-1.0,SZ_G062.31+56.45
246.99757241228653,30.15254947769249,0.2337270802818239,0.4318495246812681,-1.0,SZ_G050.07+42.83
258.76448468943084,-83.39057107133284,0.2337423218414187,0.43186112322494,6.917714,SZ_G309.55-24.28
208.401813265704,23.73669735416377,0.2337625417858362,0.4318765102269663,-1.0,SZ_G022.79+75.57
261.24284327031484,-58.1726397310952,0.2337727579288185,0.4318842845219655,-1.0,SZ_G333.06-12.39
133.7708774664794,55.33266838431693,0.2338148537091911,0.4319163186287127,-1.0,SZ_G162.11+39.43
240.62525586438977,-32.50739077919651,0.2338258301218351,0.4319246714747991,-1.0,SZ_G343.21+15.04
250.3147437465612,32.78182441411799,0.2338273297064006,0.4319258126307921,-1.0,SZ_G054.18+40.50
288.804206091622,20.121234894408826,0.2338520102202893,0.431944594043311,-1.0,SZ_G053.50+04.03
149.38390876337886,-48.48858625964829,0.2338532321155071,0.4319455238828697,-1.0,SZ_G275.69+04.97
13.307590449748623,72.46533927704048,0.2338598941763242,0.431950593587374,-1.0,SZ_G123.07+09.59
304.0685146122268,23.48303330798708,0.2338783675804734,0.4319646515047059,-1.0,SZ_G063.54-06.52
288.8066869471052,-38.51839795330879,0.2338866419158876,0.4319709481202235,5.8202120000000015,SZ_G359.32-20.86
